attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,class
0.5280898876404495,0.43678160919540227,0.35443037974683544,0.27,0.0,0.0,0.7808219178082191,0.29,1
0.5955056179775282,0.44827586206896547,0.36708860759493667,0.26,0.0,0.0,0.6986301369863014,0.31,1
0.30337078651685395,0.6206896551724137,0.15189873417721517,0.17,0.0,0.0,0.6986301369863014,0.22,1
0.853932584269663,0.39080459770114934,0.49367088607594933,0.47,0.0,0.0,0.8082191780821917,0.22,1
0.29213483146067415,0.2068965517241379,0.40506329113924044,0.16,0.0,0.0,0.726027397260274,0.44,1
0.49438202247191015,0.36781609195402304,0.30379746835443033,0.54,0.0,0.0,0.684931506849315,0.22,1
0.6741573033707866,0.7586206896551724,0.2531645569620252,0.38,0.0,0.0,0.7397260273972602,0.22,2
0.33707865168539325,0.37931034482758624,0.481012658227848,0.19,0.0,0.0,0.7945205479452054,0.27,1
0.550561797752809,0.42528735632183906,0.45569620253164544,0.25,0.0,0.0,0.5616438356164383,0.26,1
0.2247191011235955,0.3103448275862069,0.12658227848101267,0.17,0.0,0.0,0.7123287671232876,0.22,1
0.43820224719101125,0.5057471264367814,0.5189873417721519,0.25,0.0,0.0,0.6986301369863014,0.22,1
0.42696629213483145,0.3563218390804597,0.3797468354430379,0.18,0.0,0.0,0.7123287671232876,0.27,1
0.42696629213483145,0.42528735632183906,0.26582278481012656,0.43,0.0,0.0,0.684931506849315,0.36,1
0.40449438202247184,0.39080459770114934,0.36708860759493667,0.19,0.0,0.0,0.6986301369863014,0.26,1
0.48314606741573035,0.5402298850574712,0.45569620253164544,0.17,0.0,0.0,0.6027397260273972,0.22,1
0.39325842696629215,0.2528735632183908,0.40506329113924044,0.16,0.0,0.0,0.6986301369863014,0.29,1
0.42696629213483145,0.5402298850574712,0.430379746835443,0.17,0.0,0.0,0.6027397260273972,0.22,1
0.46067415730337086,0.42528735632183906,0.40506329113924044,0.1,0.0,0.0,0.6575342465753424,0.22,1
0.46067415730337086,0.471264367816092,0.36708860759493667,0.21,0.0,0.0,0.6575342465753424,0.3,1
0.41573033707865165,0.3333333333333333,0.3924050632911392,0.24,0.0,0.0,0.767123287671233,0.22,1
0.2247191011235955,0.1954022988505747,0.16455696202531644,0.19,0.0,0.0,0.7534246575342466,0.3,1
0.5955056179775282,0.42528735632183906,0.40506329113924044,0.1,0.0,0.0,0.6986301369863014,0.22,1
0.651685393258427,0.6551724137931034,0.3924050632911392,0.36,0.0,0.0,0.6301369863013698,0.22,1
0.7191011235955057,0.6436781609195401,0.3417721518987341,0.13,0.0,0.0,0.7808219178082191,0.4,1
0.3707865168539326,0.471264367816092,0.3797468354430379,0.16,0.0,0.0,0.7945205479452054,0.22,1
0.6292134831460675,0.43678160919540227,0.40506329113924044,0.28,0.0,0.0,0.6986301369863014,0.22,1
0.5730337078651686,0.43678160919540227,0.3924050632911392,0.42,0.0,0.0,0.7397260273972602,0.27,1
