attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,class
1.0,0.0,0.829225,0.718085,0.7234050000000001,0.87402,0.526595,0.92553,0.339865,0.910695,0.15873500000000001,0.76204,0.07894499999999999,0.535555,0.085945,0.35638499999999995,0.26484,0.14137499999999997,0.476205,0.06998999999999994,0.61646,0.11841999999999997,0.783315,0.23936000000000002,0.8714999999999999,0.406775,0.8737900000000001,0.618565,0.7259249999999999,0.795355,0.602745,0.88382,0.407335,0.87178,1
1.0,0.0,0.922785,0.4571,0.341275,0.09723500000000002,0.455195,0.217825,0.90324,0.52288,0.94757,0.496185,0.40753,0.8198300000000001,0.399905,0.159675,0.928505,0.44328,0.889895,0.421355,0.465205,0.75405,0.32936,0.90467,0.89466,0.48141,0.85441,0.37356,0.88942,0.429455,0.39322999999999997,0.10915000000000002,0.40753,0.20066499999999998,2
1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2
1.0,0.0,0.935555,0.52163,0.89973,0.591485,0.995045,0.64646,0.947275,0.45831500000000003,0.94299,0.48986,0.95223,0.36638,0.94705,0.59982,0.94322,0.47679,0.9222600000000001,0.495045,0.98941,0.32988,0.89477,0.374495,0.933305,0.454035,0.929835,0.48546,0.8938699999999999,0.479495,0.879675,0.6090599999999999,0.94119,0.545965,1
1.0,0.0,0.98794,0.44699,0.973005,0.396,0.9640299999999999,0.35825,0.92998,0.36329,0.89883,0.260355,0.891125,0.24618,0.87314,0.19282,0.789725,0.15957,0.68926,0.131795,0.68162,0.11719000000000002,0.65949,0.10123499999999996,0.61396,0.09183000000000002,0.568295,0.08745000000000003,0.52303,0.08802500000000002,0.47869,0.09340999999999999,0.43084,0.09512500000000002,1
1.0,0.0,1.0,0.505525,1.0,0.505525,1.0,0.5116,0.9972399999999999,0.49282,0.9972399999999999,0.498895,0.9917149999999999,0.5116,1.0,0.50442,0.987845,0.503865,0.9895050000000001,0.508285,0.990055,0.503315,0.99061,0.510495,0.985635,0.496685,0.990165,0.508,0.9895050000000001,0.507735,0.99282,0.510495,0.99337,0.51381,1
0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,2
1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.333335,0.583335,0.6302099999999999,0.5,0.5,0.5,0.5,0.5,0.5,0.40104,0.390625,0.416665,0.953125,0.0,0.75,0.520835,0.875,0.385415,0.0,0.4375,0.364585,0.40104,0.03125,2
1.0,0.0,0.92355,0.567665,0.86819,0.469245,0.939365,0.5413,0.9446399999999999,0.454305,0.893675,0.53339,0.90334,0.498245,0.8963099999999999,0.49473,0.92882,0.477155,0.9358500000000001,0.482425,0.9086099999999999,0.45255,0.85501,0.52197,0.932335,0.42443,0.905735,0.47589,0.891035,0.496485,0.878735,0.46661,0.92882,0.469245,1
1.0,0.0,0.96829,0.675535,0.87627,0.8282,0.727855,0.9428799999999999,0.576615,0.97888,0.391125,0.9815050000000001,0.217325,0.916985,0.10624499999999998,0.790225,0.03448000000000001,0.6301,0.03179499999999996,0.46791,0.06486000000000003,0.295255,0.174605,0.16268,0.316005,0.075245,0.47711,0.04389499999999996,0.6366499999999999,0.07118999999999998,0.774135,0.151935,0.87414,0.279135,1
1.0,0.0,0.8636349999999999,0.475,0.946205,0.51731,1.0,0.8636349999999999,0.83182,0.470455,0.74091,0.41591,0.909045,0.547795,0.78409,1.0,0.752275,0.60909,0.83409,0.55,1.0,0.35,0.99318,0.0,0.786365,0.663635,0.78491,0.573365,0.711365,0.54091,0.7446349999999999,0.573215,1.0,1.0,2
1.0,0.0,0.925065,0.509045,0.961055,0.50728,0.96023,0.5109,0.9638249999999999,0.54005,0.9379850000000001,0.55685,0.955805,0.5216,0.9536899999999999,0.5250900000000001,0.936695,0.51421,0.97933,0.5,0.945485,0.535235,0.94215,0.538485,0.918605,0.554265,0.934615,0.54475,0.9379850000000001,0.54393,0.92599,0.55067,0.9212899999999999,0.55349,1
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.828125,0.5,0.5,1.0,0.0,2
1.0,0.0,0.917135,0.695605,0.7702,0.892895,0.56163,0.94701,0.333895,0.91789,0.14956999999999998,0.79782,0.06688999999999995,0.609545,0.07778999999999997,0.37917999999999996,0.20143,0.19053000000000003,0.40323,0.06106499999999998,0.562195,0.054680000000000006,0.7555449999999999,0.13773000000000002,0.895715,0.36133,0.91504,0.54359,0.8329599999999999,0.745395,0.68771,0.850055,0.480085,0.8972199999999999,1
1.0,0.0,1.0,0.27419499999999997,1.0,1.0,0.85608,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.57258,0.77047,0.30335,0.0,0.227665,0.150125,1.0,0.5,0.5,1.0,0.9534750000000001,0.758065,1.0,1.0,0.399505,0.62841,1.0,0.33809,1.0,2
1.0,0.0,0.6666650000000001,0.375,0.72222,0.61111,0.694445,0.583335,0.7083349999999999,0.569445,0.75,0.444445,0.774555,0.457785,0.7916650000000001,0.6666650000000001,0.77778,0.51389,0.625,0.40278,0.73611,0.47222,0.76389,0.48611,0.694445,0.541665,0.707715,0.42872,0.59722,0.430555,0.68462,0.425955,0.541665,0.25,1
1.0,0.0,1.0,0.512305,0.99836,0.524305,0.987725,0.5357149999999999,0.808725,0.0,0.95518,0.555735,0.94231,0.7682,0.910385,0.570685,0.8846449999999999,0.575945,1.0,0.705015,0.82925,0.581855,0.80069,0.58258,0.77223,0.58195,0.744335,0.580095,0.7174050000000001,0.57718,0.6917599999999999,0.573385,1.0,1.0,2
1.0,0.0,1.0,0.534215,1.0,0.571055,1.0,0.61054,1.0,0.4375,1.0,0.6974750000000001,1.0,0.744905,1.0,0.79493,0.3125,1.0,1.0,0.5,1.0,0.960005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1
1.0,0.0,0.54348,0.50343,0.569795,0.479405,0.55263,0.45881,0.56293,0.46911,0.616705,0.49428,0.561785,0.5389,0.573225,0.432495,0.64531,0.475975,0.594965,0.536615,0.55835,0.5,0.556065,0.498855,0.575515,0.448515,0.542335,0.506865,0.556065,0.46682,0.548055,0.463385,0.55835,0.465675,2
1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.36111,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,2
1.0,0.0,0.509875,0.503525,0.52045,0.49577,0.51058,0.50564,0.50564,0.52186,0.50141,0.500705,0.509875,0.484485,0.490125,0.530325,0.47955,0.5134,0.48801,0.497885,0.52186,0.487305,0.50917,0.5,0.5,0.493655,0.50917,0.49436,0.50282,0.492245,0.491535,0.48801,0.503525,0.5,2
0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,2
1.0,0.0,0.75466,0.03001999999999999,1.0,0.63354,0.4824,0.0,1.0,0.0,0.718425,0.0,0.5,0.5,0.0,0.328675,0.311595,0.518115,1.0,0.0,0.5,0.5,0.5,0.5,0.41873499999999997,0.96118,0.69876,0.632505,0.5,0.5,1.0,0.61594,0.5,0.5,2
1.0,0.0,0.977795,0.499225,0.932105,0.43378,0.97491,0.497695,0.914045,0.244145,0.962205,0.55184,1.0,0.428765,0.99632,0.48729,0.9792649999999999,0.42241,0.9200649999999999,0.8086949999999999,1.0,0.418395,0.93746,0.457525,0.928705,0.49168,0.92066,0.491155,0.912135,0.490665,0.90317,0.490215,0.893805,0.489805,1
1.0,0.0,0.17857,0.0,1.0,0.914285,1.0,0.0,1.0,0.383035,1.0,0.980805,1.0,0.311605,1.0,0.0,1.0,0.569195,1.0,0.0,1.0,0.483035,0.07856999999999997,1.0,0.76875,0.92857,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2
1.0,0.0,0.9804350000000001,0.5431,0.9838,0.596395,0.98013,0.637255,0.99022,0.67526,0.964335,0.7314050000000001,0.931325,0.7625850000000001,0.9141,0.7939700000000001,0.8662099999999999,0.845325,0.8450150000000001,0.8657,0.772365,0.8441000000000001,0.741695,0.880985,0.703075,0.873445,0.667005,0.91898,0.62472,0.9303049999999999,0.56878,0.934175,0.54524,0.931425,1
1.0,0.0,0.9530399999999999,0.491715,0.99061,0.490055,0.9784550000000001,0.48177,0.92873,0.50055,0.94862,0.483425,0.9453050000000001,0.49282,0.9530399999999999,0.47735,0.956905,0.49558,0.903865,0.43535999999999997,0.943645,0.506075,0.9607749999999999,0.4884,0.9552499999999999,0.489505,0.945735,0.4612,0.9149149999999999,0.41381,0.98011,0.481215,0.9370149999999999,0.418785,1
1.0,0.0,0.856265,0.487025,0.7064349999999999,0.38466500000000003,0.990095,0.452635,0.998545,0.44882,1.0,0.445245,0.794825,1.0,0.9186300000000001,0.0,0.91135,0.410685,0.9037999999999999,0.358715,0.37043000000000004,0.96365,0.759665,0.52728,0.827465,0.39804,0.9656199999999999,0.293465,0.8190550000000001,0.39049500000000004,0.93068,0.06323000000000001,0.38407,0.0,2
1.0,0.0,0.923565,0.48301499999999997,0.9320600000000001,0.457535,0.9097649999999999,0.5,0.868365,0.461785,0.859875,0.43206,0.874735,0.441615,0.887475,0.40658,0.89066,0.393845,0.80998,0.449045,0.895965,0.421445,0.94692,0.48301499999999997,0.9246300000000001,0.369425,0.870575,0.38344,0.83121,0.38853499999999996,0.863055,0.31104,0.8290850000000001,0.375795,1
1.0,0.0,0.65517,0.448275,0.62069,0.448275,0.60345,0.465515,0.537025,0.472845,0.518245,0.481555,0.508535,0.488085,0.503705,0.49259000000000003,0.501405,0.495535,0.50039,0.497385,0.499985,0.498505,0.49986,0.49917,0.499845,0.49955,0.499875,0.49976,0.49991,0.49988,0.49994,0.49994,0.49996,0.49997,1
1.0,0.0,1.0,0.22895,1.0,0.0,1.0,0.0,1.0,0.6810849999999999,1.0,0.29440500000000003,1.0,1.0,1.0,0.0,1.0,0.35323,1.0,0.032005000000000006,1.0,1.0,1.0,1.0,1.0,0.29556,1.0,0.18627500000000002,1.0,0.0,1.0,0.0,1.0,0.0,2
1.0,0.0,0.995125,0.471075,0.9989649999999999,0.434955,0.993315,0.40285,0.9968699999999999,0.37078500000000003,0.9636899999999999,0.34935,0.963255,0.310175,0.94906,0.28102,0.92461,0.23968,0.937165,0.214625,0.8950800000000001,0.200805,0.873625,0.176925,0.84141,0.157605,0.826235,0.13413000000000003,0.80505,0.12323499999999998,0.77376,0.09860999999999998,0.745975,0.08377499999999999,1
1.0,0.0,0.947815,0.689585,0.8365549999999999,0.84719,0.67958,0.9434800000000001,0.479035,0.9667250000000001,0.30562500000000004,0.92207,0.16363,0.8103899999999999,0.08660000000000001,0.65178,0.06924999999999998,0.473175,0.13218000000000002,0.328625,0.24111,0.18778499999999998,0.38286,0.13072499999999998,0.534555,0.13072,0.667655,0.18851999999999997,0.76207,0.28957,0.8060849999999999,0.413285,0.800365,0.5433,1
1.0,0.0,0.0,1.0,0.0,0.57622,0.64177,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.38262,0.641505,0.0,1.0,1.0,0.34299,0.0,0.0,0.0,1.0,0.0,0.0,0.48211,1.0,0.0,0.0,0.338415,0.574695,1.0,2
1.0,0.0,1.0,0.727275,1.0,0.772725,0.90909,0.81818,1.0,0.454545,1.0,0.5,0.90909,0.272725,0.81818,0.6363650000000001,1.0,0.18181999999999998,1.0,0.363635,0.954545,0.272725,1.0,0.53875,1.0,0.454545,1.0,0.544335,1.0,0.68182,1.0,0.81818,0.8636349999999999,0.6363650000000001,1
1.0,0.0,1.0,0.21388000000000001,0.99575,0.13314499999999996,0.9475899999999999,0.012749999999999984,1.0,0.32091000000000003,1.0,0.383855,0.81445,0.06798999999999994,1.0,0.21232499999999999,1.0,0.10198499999999999,0.8838550000000001,0.055239999999999956,0.983005,0.0,0.8506,0.12551999999999996,0.8097300000000001,0.11548000000000003,0.768885,0.11007,0.9051,0.0,1.0,0.0,0.652225,0.11943999999999999,1
0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
1.0,0.0,0.695895,0.468285,0.98732,0.52164,1.0,1.0,0.679105,0.576495,0.77239,0.5653,0.807835,0.08955000000000002,0.78918,0.83955,0.833955,0.44776,0.73321,0.442165,0.82787,0.57396,0.916045,0.72761,0.735075,0.58209,0.746545,0.57315,0.662315,0.48694,0.69559,0.567605,0.672055,0.563775,2
1.0,0.0,1.0,0.483175,1.0,0.502425,1.0,0.43969,0.944825,0.50599,0.86541,0.52673,0.9272149999999999,0.504135,0.7729550000000001,0.501495,0.918875,0.43178,0.877675,0.4573,0.8544350000000001,0.36249,0.716925,0.43969,0.78764,0.2989,0.79492,0.389275,0.7155,0.413175,0.80218,0.3791,0.780225,0.30881000000000003,1
1.0,0.0,1.0,0.7891,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.18601999999999996,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2
1.0,0.0,0.99411,0.510935,0.9655100000000001,0.6705,0.91952,0.67611,0.87353,0.74453,0.86792,0.759395,0.77538,0.8008949999999999,0.71565,0.8311850000000001,0.659,0.852215,0.641895,0.844365,0.537575,0.86848,0.53169,0.85642,0.417555,0.84857,0.41722000000000004,0.80255,0.41895499999999997,0.7790250000000001,0.326415,0.720975,0.332585,0.687325,1
