attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,class
1.0,0.029411764705882346,0.0,0.054945054945054944,0.25,0.5,0.6666666666666667,0.0,1.0,0.28571428571428575,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.0,0.1176470588235294,0.5,0.06593406593406594,0.0,0.75,0.0,0.6666666666666667,0.6666666666666667,0.30357142857142855,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2
1.0,0.08823529411764706,0.5,0.027472527472527472,0.5,1.0,0.6666666666666667,1.0,1.0,0.48214285714285715,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1.0,0.20588235294117646,0.25,0.34615384615384615,0.0,1.0,0.6666666666666667,1.0,1.0,0.35714285714285715,0.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2
0.0,0.6470588235294117,0.5,0.5549450549450551,0.0,0.75,0.6666666666666667,1.0,1.0,0.35714285714285715,0.5,0.6666666666666667,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2
0.3333333333333333,0.1176470588235294,0.5,0.049450549450549455,0.0,0.5,0.3333333333333333,1.0,0.0,0.5357142857142858,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1.0,0.2941176470588235,1.0,0.1098901098901099,0.25,1.0,0.6666666666666667,1.0,0.3333333333333333,0.5892857142857142,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.3333333333333333,0.47058823529411764,0.5,0.25274725274725274,0.0,0.25,0.3333333333333333,0.0,1.0,0.19642857142857145,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,0.1176470588235294,0.5,0.1318681318681319,0.0,0.0,0.3333333333333333,1.0,1.0,0.6428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.2941176470588235,0.5,0.09340659340659341,0.0,0.25,0.0,0.6666666666666667,0.3333333333333333,0.23214285714285715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2
0.3333333333333333,0.1176470588235294,0.5,0.054945054945054944,0.0,1.0,1.0,0.6666666666666667,0.0,0.37499999999999994,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.3333333333333333,0.2941176470588235,0.75,0.1153846153846154,1.0,0.25,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.17857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.6666666666666667,0.1176470588235294,0.5,0.06043956043956045,0.0,0.5,1.0,1.0,0.0,0.07142857142857145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.0,0.029411764705882346,0.5,0.005494505494505494,0.0,0.25,0.3333333333333333,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,0.2941176470588235,0.25,0.054945054945054944,0.0,0.0,0.3333333333333333,1.0,1.0,0.17857142857142855,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2
0.0,0.5588235294117647,0.5,0.4230769230769231,0.0,0.75,0.6666666666666667,1.0,0.3333333333333333,0.46428571428571425,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.3333333333333333,0.029411764705882346,0.5,0.03296703296703297,0.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.8035714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1.0,0.08823529411764706,0.5,0.06593406593406594,0.0,0.5,0.3333333333333333,1.0,0.6666666666666667,0.8035714285714286,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,0.20588235294117646,0.5,0.2197802197802198,0.0,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.41071428571428575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
1.0,0.029411764705882346,1.0,0.3626373626373626,0.0,0.75,0.6666666666666667,0.6666666666666667,1.0,0.46428571428571425,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.0,0.6470588235294117,0.5,0.3626373626373626,0.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.21428571428571425,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2
1.0,0.029411764705882346,0.5,0.08791208791208792,0.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.035714285714285754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
